Ticker,Date,Eps_surprise,Type
AAPL,07/27/2021,30%,1
AAPL,04/28/2021,40%,1
AAPL,01/27/2021,19.15%,1
AAPL,10/29/2020,5.80%,1
AAPL,07/30/2020,27.09%,1
AAPL,04/30/2020,21.01%,1
AAPL,01/28/2020,9.91%,1
AAPL,10/30/2019,6.69%,1
AAPL,07/30/2019,3.81%,1
AAPL,04/30/2019,3.80%,1
AAPL,01/29/2019,0.24%,1
AAPL,11/01/2018,4.30%,1
AAPL,07/31/2018,7.83%,1
AAPL,05/01/2018,1.49%,1
AAPL,02/01/2018,1.83%,1
AAPL,11/02/2017,10.70%,1
AAPL,08/01/2017,6.37%,1
AAPL,05/02/2017,3.96%,1
AAPL,01/31/2017,4.35%,1
AAPL,10/25/2016,0.60%,1
AAPL,07/26/2016,2.16%,1
AAPL,04/26/2016,-3.55%,-1
AAPL,01/26/2016,1.23%,1
AAPL,10/27/2015,4.26%,1
AAPL,07/21/2015,2.78%,1
AAPL,04/27/2015,6.39%,1
AAPL,01/27/2015,17.69%,1
AAPL,10/20/2014,9.23%,1
AAPL,07/22/2014,4.92%,1
AAPL,04/23/2014,13.81%,1
AAPL,01/27/2014,3.28%,1
AAPL,10/28/2013,4.82%,1
AAPL,07/23/2013,2.33%,1
AAPL,04/23/2013,-0.88%,-1
AAPL,01/23/2013,2.75%,1
AAPL,10/25/2012,-2.03%,-1
AAPL,07/24/2012,-9.95%,-1
AAPL,04/24/2012,22.63%,1
AAPL,01/24/2012,37.74%,1
AAPL,10/18/2011,-3.56%,-1
AAPL,07/19/2011,34.08%,1
AAPL,04/20/2011,19.63%,1
AAPL,01/18/2011,19.52%,1
AAPL,10/18/2010,14.57%,1
AAPL,07/20/2010,13.96%,1
AAPL,04/20/2010,37.04%,1
AAPL,01/25/2010,76.44%,1
AAPL,10/19/2009,27.27%,1
AAPL,07/21/2009,17.39%,1
AAPL,04/22/2009,22.02%,1
AAPL,01/21/2009,27.14%,1
AAPL,10/21/2008,13.51%,1
AAPL,07/21/2008,12.26%,1
AAPL,04/23/2008,9.43%,1
AAPL,01/22/2008,9.32%,1
AAPL,10/22/2007,20.24%,1
AAPL,07/25/2007,29.58%,1
AAPL,04/25/2007,38.10%,1
AAPL,01/27/2007,46.15%,1
AAPL,10/18/2006,24.00%,1
AAPL,07/19/2006,22.73%,1
AAPL,04/19/2006,6.82%,1
AAPL,01/18/2006,19.30%,1
